App Count,Condition
11448,genreId=GAME_CARD
107395,free=0
106530,"price=[0, 100]"
0,ratings=3
1498356,containsAds=1
416814,"reviews=[0, 1000]"
259107,releasedMonth=Feb
1177079,"releasedYear=[2015, 2020]"
175580,"score=[1, 4]"
2653233,"minInstalls=[0, 5000]"
106530,"price=[0, 100]"
338726,"lenScreenshots=[1, 3]"
289396,"histogram1=[0, 500]"
25253,genreId=ART_AND_DESIGN;free=1
554,"genreId=GAME_CARD;price=[0, 100]"
0,genreId=ART_AND_DESIGN;ratings=3
9967,genreId=ART_AND_DESIGN;containsAds=0
3676,"genreId=GAME_CARD;reviews=[0, 1000]"
2183,genreId=ART_AND_DESIGN;releasedMonth=Oct
10099,"genreId=ART_AND_DESIGN;releasedYear=[2015, 2020]"
1367,"genreId=ART_AND_DESIGN;score=[1, 4]"
19347,"genreId=ART_AND_DESIGN;minInstalls=[0, 5000]"
554,"genreId=GAME_CARD;price=[0, 100]"
1850,"genreId=ART_AND_DESIGN;lenScreenshots=[1, 3]"
2292,"genreId=ART_AND_DESIGN;histogram1=[0, 500]"
106528,"free=0;price=[0, 100]"
0,free=0;ratings=1
100933,free=0;containsAds=0
398877,"free=1;reviews=[0, 1000]"
250787,free=1;releasedMonth=Feb
